experiment,file,target,peer_key,lat_band,elev_band,split,fold,peer_coverage,arm,net_benefit,precision_at_25,spearman,n,event_rate,git_sha,dirty,seed,content_hash
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kano_Sudan_Savannah,0.20842572062084258,zero,0.0,0.05747126436781609,0.0,261,0.05747126436781609,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kano_Sudan_Savannah,0.20842572062084258,persistence,-0.14559386973180075,0.08,0.3976300772909687,261,0.05747126436781609,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kano_Sudan_Savannah,0.20842572062084258,climatology,0.0,0.05747126436781609,0.0,261,0.05747126436781609,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kano_Sudan_Savannah,0.20842572062084258,linear,-0.11877394636015326,0.16,0.3302076794838048,261,0.05747126436781609,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kano_Sudan_Savannah,0.20842572062084258,boosted,-0.022988505747126436,0.12,0.3555159589905576,261,0.05747126436781609,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Benue_River_Basin,1.0,zero,0.0,0.22614840989399293,0.0,566,0.22614840989399293,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Benue_River_Basin,1.0,persistence,0.05874558303886926,0.24,0.19694574696919986,566,0.22614840989399293,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Benue_River_Basin,1.0,climatology,0.0,0.22614840989399293,0.0,566,0.22614840989399293,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Benue_River_Basin,1.0,linear,0.0181095406360424,0.2,0.1687934095639152,566,0.22614840989399293,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Benue_River_Basin,1.0,boosted,0.014575971731448761,0.36,0.227083646658993,566,0.22614840989399293,db654a6,False,42,6c832dc27417
