lat_band,elev_band,target,arm,net_benefit_mean,ci_lo,ci_hi,folds_scored,folds_attempted,donor_Benue_River_Basin,donor_Kaduna_Grain_Belt,donor_Kano_Sudan_Savannah,donor_Kenya_Rift_Valley,cov_Benue_River_Basin,cov_Kaduna_Grain_Belt,cov_Kano_Sudan_Savannah,cov_Kenya_Rift_Valley
90.0,500.0,level_z,persistence,-0.014010852296328986,-0.06274895669774573,0.020786486775886074,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,level_z,climatology,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,level_z,linear,-0.01325580529571828,-0.05780282397950912,0.016888183959738727,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,level_z,boosted,0.007693105240828269,0.0009313541778206091,0.017207250082213608,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,within_xy,zero,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,within_xy,persistence,0.07713319069420224,-0.05056628964201185,0.24039422493486096,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,within_xy,climatology,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,within_xy,linear,0.05669135034194938,-0.005073378714683064,0.14826768122925366,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,500.0,within_xy,boosted,0.029599057236061654,-0.012919045527741178,0.08339663599688181,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
90.0,1000.0,level_z,zero,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,level_z,persistence,-0.027180314461340463,-0.06967545350278723,0.008345601053111915,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,level_z,climatology,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,level_z,linear,-0.01398847524390525,-0.03827918778515227,0.003738957449972058,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,level_z,boosted,0.006611537225361336,-0.0019553047105818726,0.01566824852880892,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,within_xy,zero,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,within_xy,persistence,0.03172948626457606,-0.09476566891753258,0.1582246414466847,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,within_xy,climatology,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
90.0,1000.0,within_xy,linear,0.040353595557471054,-0.007241709132596672,0.09403093559459252,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
