hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
19168,2,2,1.0,0.008626473689255247,1050.0,3,0,22.0,0,2.0,15.0,0.0,0.0,3
19169,1,1,0.5,0.04233147503520319,900.0,6,0,26.0,0,0.0,17.0,0.0,0.0,3
19170,1,1,0.5,0.03378477500987891,3600.0,3,0,26.0,0,0.0,22.0,0.0,0.0,3
19173,1,2,1.0,0.02241473172268809,1450.0,5,0,16.0,0,2.0,17.0,0.0,0.0,3
19175,1,1,0.5,0.021224913331603895,1550.0,2,0,43.0,0,0.0,43.0,0.0,0.0,3
19177,2,2,1.0,0.008955402097554181,100.0,5,0,26.0,0,2.0,17.0,0.0,0.0,3
19178,1,1,0.5,0.0020958977242619844,100.0,3,0,26.0,0,1.0,10.0,0.0,0.0,3
19179,0,0,0.0,0.12685123521390287,4050.0,7,0,26.0,0,2.0,26.0,0.0,0.0,3
19181,0,0,0.0,0.05629272215520708,900.0,6,0,26.0,0,0.0,10.0,0.0,0.0,3
19182,1,0,0.0,0.07129108148570613,450.0,7,0,26.0,0,0.0,11.0,0.0,0.0,3
19183,1,1,0.5,0.016742005692281934,450.0,1,0,27.0,0,0.0,5.0,0.0,0.0,3
19184,0,0,0.0,0.2766955905790685,5400.0,2,0,16.0,1,2.0,15.0,0.0,0.0,3
19185,0,0,0.0,0.12823143208863358,5400.0,2,0,26.0,1,2.0,16.0,0.0,0.0,3
19186,0,0,0.0,0.1026314339039627,6750.0,3,0,16.0,1,0.0,12.0,0.0,0.0,3
19193,0,0,0.0,0.058649705916821546,4500.0,5,1,26.0,0,1.0,23.0,300.0,0.0,3
19194,0,0,0.0,0.07656115258819599,5400.0,3,0,28.0,0,0.0,22.0,0.0,0.0,3
19196,0,0,0.0,0.32052402764665433,450.0,4,0,26.0,0,2.0,28.0,0.0,0.0,1
19202,2,2,1.0,0.007250866541164596,1650.0,4,1,26.0,0,2.0,26.0,3000.0,0.0,3
19205,1,0,0.0,0.15322994516267946,100.0,9,0,26.0,0,0.0,14.0,0.0,0.0,3
19206,0,0,0.0,0.10124647126964065,100.0,6,0,41.0,0,0.0,15.0,0.0,0.0,3
19208,1,1,0.5,0.03949817935569226,100.0,4,0,26.0,0,0.0,7.0,0.0,0.0,3
19209,0,0,0.0,0.1867528593422719,0.0,8,0,34.0,0,1.0,14.0,0.0,0.0,3
19211,1,1,0.5,0.053331240639059335,100.0,7,0,26.0,0,2.0,18.0,0.0,0.0,3
19214,1,1,0.5,0.3369056890462398,0.0,5,0,26.0,0,2.0,9.0,0.0,0.0,3
19215,1,1,0.5,0.13053984343408456,0.0,4,0,42.0,0,2.0,17.0,0.0,0.0,3
19218,0,0,0.0,0.09967877222501446,100.0,5,0,41.0,0,0.0,23.0,0.0,0.0,3
19225,0,0,0.0,0.10178735418367951,0.0,5,0,26.0,0,2.0,15.0,0.0,0.0,3
19227,0,0,0.0,0.377235118074592,100.0,5,0,41.0,0,1.0,21.0,0.0,0.0,3
19230,1,1,0.5,0.0391840999629928,200.0,3,0,64.0,0,1.0,29.0,0.0,0.0,3
19231,0,0,0.0,0.0712235176729097,100.0,5,0,41.0,0,0.0,15.0,0.0,0.0,3
19239,1,1,0.5,0.13665594540795015,100.0,1,0,42.0,0,2.0,6.0,0.0,0.0,3
19250,2,2,1.0,0.046407700240632524,8093.72,6,0,41.0,0,2.0,15.0,0.0,0.0,3
19254,2,2,1.0,0.04899295064368159,0.0,5,1,26.0,0,2.0,16.0,3500.0,0.0,3
19266,2,1,0.5,0.014798737174427782,600.0,5,1,26.0,0,2.0,22.0,600.0,0.0,3
19269,1,0,0.0,0.13424821002386633,150.0,4,0,25.0,0,2.0,15.0,0.0,0.0,3
19277,2,2,1.0,0.039143198869196476,200.0,3,0,41.0,0,2.0,17.0,0.0,0.0,3
19280,1,1,0.5,0.1349667474461721,350.0,7,0,42.0,0,2.0,20.0,0.0,0.0,3
20001,0,0,0.0,0.1617245161072831,19300.0,9,0,26.0,0,1.0,20.0,0.0,0.0,1
20002,1,1,0.5,0.15843153743905994,50.0,9,1,34.0,0,2.0,8.0,1000.0,0.0,1
20003,0,1,0.5,0.10322236173901951,0.0,5,0,0.0,0,2.0,4.0,400.0,0.0,1
20005,1,1,0.5,0.01443415457791986,2000.0,6,0,26.0,0,0.0,5.0,0.0,0.0,1
20006,0,1,0.5,0.11270945695043992,4500.0,7,1,25.0,0,2.0,3.0,0.0,0.0,1
20007,1,1,0.5,0.31840035660839944,3000.0,6,1,34.0,0,2.0,5.0,0.0,0.0,1
20008,1,1,0.5,0.02853698653282513,22300.0,5,0,26.0,0,2.0,9.0,0.0,0.0,1
20009,0,0,0.0,0.4172848664688427,20000.0,7,1,26.0,1,2.0,10.0,0.0,0.0,1
20010,1,1,0.5,0.04059594852433727,0.0,5,1,26.0,0,1.0,7.0,0.0,0.0,1
20042,0,0,0.0,0.17691166450431614,23900.0,7,0,26.0,0,1.0,4.0,0.0,0.0,1
20043,0,0,0.0,0.399706508294456,16725.0,7,0,0.0,0,2.0,8.0,1000.0,0.0,1
20044,0,0,0.0,0.2878250023985417,0.0,7,0,26.0,1,2.0,10.0,0.0,0.0,1
20045,1,1,0.5,0.2507899884636605,0.0,4,1,0.0,0,2.0,6.0,500.0,0.0,1
20046,0,0,0.0,0.1594209829897811,0.0,13,0,0.0,0,2.0,17.0,600.0,0.0,1
20047,0,0,0.0,0.3280980057187691,20000.0,12,0,31.0,1,0.0,22.0,0.0,0.0,1
20048,0,0,0.0,0.24374949476841593,6200.0,12,1,0.0,0,1.0,11.0,0.0,0.0,1
20049,0,0,0.0,0.4164566526267506,13000.0,7,1,26.0,0,2.0,7.0,500.0,0.0,1
20050,0,0,0.0,0.0801844350588288,4600.0,2,0,0.0,0,2.0,1.0,0.0,0.0,1
20061,1,1,0.5,0.09911588629425523,10000.0,5,0,26.0,0,2.0,4.0,0.0,0.0,1
20062,1,1,0.5,0.07869351375125128,10000.0,7,0,26.0,1,2.0,5.0,0.0,0.0,1
20063,1,0,0.0,0.14311917725145348,10000.0,6,0,26.0,0,2.0,12.0,0.0,0.0,1
20064,1,1,0.5,0.552761041401802,10000.0,2,1,0.0,0,2.0,5.0,500.0,0.0,1
20065,2,2,1.0,0.04875076173065204,10000.0,8,1,16.0,0,0.0,4.0,0.0,0.0,1
20066,0,1,0.5,0.4195686833934715,10000.0,2,1,0.0,0,2.0,4.0,1500.0,0.0,1
20067,1,0,0.0,0.16231223374205317,16187.44,6,0,34.0,0,2.0,17.0,0.0,0.0,1
20068,1,1,0.5,0.09317048932149355,8093.72,4,0,25.0,0,2.0,4.0,1000.0,0.0,1
20069,0,0,0.0,0.08297639157827355,12140.58,8,0,26.0,0,2.0,13.0,0.0,0.0,1
20070,2,2,1.0,0.04962205896644136,24046.86,4,0,26.0,0,2.0,9.0,3700.0,0.0,1
20091,1,1,0.5,0.13127051101734646,20000.0,10,0,51.0,0,2.0,6.0,0.0,0.0,1
