hhid,intervention_level,predicted_intervention_level,risk_score,yield_original,land_size_original,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,postharvest_activity_score,crop_loss_risk_score,digital_access_score,market_access_score,transport_cost,received_credit,zone
50005,0,0,0.14526244050307446,0.8292469626953392,110.0,1.5237708090808535,1,52.0,0,2.0,0.48671223830386184,0.4007340017520981,-0.13107973067417975,0.0,2.0,0.555027325282154,0.0,1
50006,0,0,0.26606457054238747,0.17765270420428025,100.0,1.5237708090808535,1,26.0,0,2.0,1.8418054586960155,0.4007340017520981,-0.13107973067417975,0.0,0.0,2.9766322673915373,0.0,1
50007,0,0,0.13784645324033817,0.059956551418246545,0.0,0.3357768235493901,1,26.0,0,2.0,-0.07790993685953543,-0.3062660293261461,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50008,0,0,0.1188748131742859,0.036629515399476724,100.0,0.6327753199322559,1,26.0,0,2.0,0.03501449817314403,0.4007340017520981,-0.13107973067417975,0.0,0.75,-0.482803364193296,0.0,1
50009,1,1,0.10471954768026653,0.06473594644840276,50000.0,2.711764794612317,1,31.0,0,2.0,0.7125611083692208,-0.3062660293261461,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50031,0,1,0.18818823604620136,0.2005984440344066,5050.0,0.6327753199322559,0,51.0,1,2.0,-0.6425321120229327,0.8720673558042609,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50032,1,1,0.10262932275465271,0.054708015505814674,50.0,-0.8522171619820733,1,51.0,0,2.0,-0.5296076769902532,-0.3062660293261461,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50033,0,0,0.13599796513955295,0.6454163466695274,22140.58,-0.5552186655992074,1,51.0,1,2.0,-0.07790993685953543,1.1077340328303422,-0.13107973067417975,0.0,1.0,-0.482803364193296,0.0,1
50034,1,1,0.06544920992000182,0.21930786438001665,10000.0,2.711764794612317,1,51.0,0,1.0,0.03501449817314403,-0.3062660293261461,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50035,0,0,0.06730335906992181,0.32156171709302556,24096.86,1.5237708090808535,0,0.0,0,1.0,0.3737878032711824,-1.2489327374304717,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50036,0,0,0.18344407068743615,0.26417024558736957,24046.86,0.03877832716652424,1,61.0,0,2.0,0.3737878032711824,1.3434007098564238,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50037,1,1,0.20695949622809687,0.09386969575618301,0.0,0.03877832716652424,1,51.0,0,2.0,-0.7554565470556122,0.4007340017520981,-0.13107973067417975,0.0,2.0,-0.482803364193296,0.0,1
50038,0,0,0.06803669183806699,0.1643996015129097,28133.72,0.3357768235493901,0,51.0,0,0.0,-0.5296076769902532,-1.2489327374304717,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50039,1,1,0.16604733097788224,0.051401385696049795,48193.72,0.03877832716652424,0,51.0,0,2.0,-0.07790993685953543,0.6364006787781795,-0.13107973067417975,0.0,0.0,-0.2060485136665093,0.0,1
50040,0,0,0.0681552559942036,0.20384355313381974,50.0,2.1177678018465853,1,51.0,0,1.0,2.7452009389574514,0.8720673558042609,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50051,0,0,0.12445865264114792,0.06292226304616362,10000.0,-0.5552186655992074,1,52.0,0,2.0,-0.1908343718922149,-0.07059935230006469,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50052,0,1,0.1571961340538923,0.09806805923310778,400.0,-0.5552186655992074,0,51.0,0,2.0,-0.7554565470556122,0.4007340017520981,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50053,1,1,0.1861250483504874,0.04366262301457898,0.0,1.2267723126979877,1,51.0,0,2.0,-0.4166832419575738,0.6364006787781795,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50054,0,0,0.2099391354344902,0.17462360752401634,8093.72,1.8207693054637193,0,51.0,0,2.0,-0.1908343718922149,0.4007340017520981,-0.13107973067417975,0.0,0.0,-0.06767108840311596,0.0,1
50055,1,1,0.16650760311148952,0.17773414089826156,0.0,0.9297738163151218,1,51.0,0,2.0,0.03501449817314403,0.6364006787781795,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50056,0,0,0.19237641919928647,0.23507823121823682,100.0,-0.2582201692163416,1,52.0,0,2.0,-0.6425321120229327,0.4007340017520981,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50057,1,1,0.23703427535295765,0.03498933655316169,0.0,0.3357768235493901,1,51.0,0,2.0,-0.8683809820882916,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.555027325282154,0.0,1
50058,0,0,0.08891129131359599,0.1828291911134668,100.0,-0.2582201692163416,1,52.0,0,2.0,0.3737878032711824,-1.2489327374304717,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50059,0,0,0.12356920608017978,0.7265241872010656,0.0,3.3057617873780485,1,51.0,0,2.0,0.48671223830386184,0.6364006787781795,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50060,0,0,0.12321113750771569,0.0881896430083251,0.0,-0.5552186655992074,1,52.0,0,2.0,-0.8683809820882916,-1.2489327374304717,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50091,1,1,0.0847761126947727,0.047567348247406736,200.0,1.5237708090808535,1,51.0,1,2.0,2.406427633859413,0.1650673247260167,-0.13107973067417975,0.0,3.0,-0.13685980103481263,0.0,1
50092,0,0,0.10245057310133003,0.02436770902889024,0.0,-0.5552186655992074,1,52.0,0,2.0,0.3737878032711824,0.1650673247260167,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50093,0,0,0.15414822850481777,0.1988466892026248,0.0,0.3357768235493901,1,51.0,0,2.0,0.3737878032711824,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50094,1,1,0.09670888594030445,0.14022219825261567,0.0,0.03877832716652424,1,51.0,0,2.0,-0.1908343718922149,-0.07059935230006469,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50095,0,0,0.1476565082799075,0.10332017108116404,0.0,0.6327753199322559,1,51.0,1,2.0,0.9384099784345797,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50096,0,1,0.17223451138577098,0.13990797164531774,10000.0,-1.149215658364939,0,51.0,0,2.0,-0.9813054171209711,0.4007340017520981,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50097,0,0,0.15543393865403793,0.016579249098612567,0.0,-0.2582201692163416,1,52.0,0,2.0,-0.7554565470556122,-0.07059935230006469,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50098,0,0,0.16440507233911397,0.016240093542938806,100.0,-1.149215658364939,1,51.0,0,1.0,-0.8683809820882916,-0.5419327063522275,-0.13107973067417975,0.0,0.0,-0.2060485136665093,0.0,1
50099,0,0,0.17664947811628284,0.06344705753211628,10000.0,0.3357768235493901,1,51.0,0,2.0,0.03501449817314403,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50100,0,0,0.09039451932458835,0.024942669498426922,0.0,-0.2582201692163416,1,52.0,0,2.0,0.7125611083692208,-0.07059935230006469,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50131,1,1,0.1201567387833991,0.0952192456586183,0.0,1.8207693054637193,1,51.0,0,2.0,-0.3037588069248943,0.6364006787781795,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50132,0,1,0.12717736350130318,0.1101594558122883,0.0,-0.5552186655992074,0,51.0,0,2.0,-0.07790993685953543,0.4007340017520981,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50133,0,0,0.10383868694577292,0.29927468700250054,70.0,0.3357768235493901,1,52.0,0,2.0,0.8254855434019003,-0.07059935230006469,-0.13107973067417975,0.0,2.0,-0.482803364193296,0.0,1
50134,1,1,0.1608850145811683,0.019759762882845405,0.0,-0.2582201692163416,0,51.0,0,2.0,0.2608633682385029,0.6364006787781795,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50135,1,1,0.12957167696905267,0.024929683053810287,0.0,0.03877832716652424,0,16.0,0,2.0,-0.6425321120229327,0.6364006787781795,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50136,0,0,0.18923393048774673,0.3488066763836502,200.0,3.0087632909951827,1,51.0,0,2.0,1.954729893728695,0.4007340017520981,-0.13107973067417975,0.0,0.0,2.2847451410745707,0.0,1
50137,0,0,0.17356155879694382,0.05818102062554581,0.0,0.3357768235493901,1,52.0,0,2.0,-0.1908343718922149,-0.3062660293261461,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50138,0,0,0.21637462139180785,0.13984909973471063,0.0,1.2267723126979877,1,51.0,0,2.0,0.2608633682385029,0.4007340017520981,-0.13107973067417975,0.0,0.0,1.5928580147576041,0.0,1
50139,0,0,0.10974950365424123,0.12471230183266539,60.0,-0.5552186655992074,1,52.0,0,2.0,1.1642588484999385,-1.2489327374304717,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
50140,0,2,0.45342103770519926,0.0,60000.0,0.6327753199322559,1,32.0,1,0.0,-0.8683809820882916,0.1650673247260167,-0.13107973067417975,0.0,0.0,0.555027325282154,0.0,0
50151,0,0,0.17823691883852866,0.3571428571428571,0.0,-0.2582201692163416,1,52.0,0,2.0,-0.8683809820882916,-0.07059935230006469,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50152,0,0,0.1025561724034763,0.08884158263574238,60.0,1.2267723126979877,1,52.0,0,2.0,0.9384099784345797,-0.07059935230006469,-0.13107973067417975,0.0,2.0,-0.482803364193296,0.0,1
50153,0,0,0.1252590358056929,0.05601918022960948,0.0,-0.5552186655992074,1,52.0,0,2.0,-0.5296076769902532,-0.07059935230006469,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50154,0,0,0.12706612856166485,0.0471669944901214,0.0,0.03877832716652424,1,26.0,0,2.0,-0.5296076769902532,-0.3062660293261461,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,1
50155,0,0,0.14879769513620736,0.29024475798116606,0.0,2.711764794612317,1,51.0,0,2.0,0.2608633682385029,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,1
